check,table,count,passed
missing_values_pair_id,pairs_with_splits,0,True
missing_values_language,pairs_with_splits,0,True
missing_values_collection,pairs_with_splits,0,True
missing_values_document_id,pairs_with_splits,0,True
missing_values_split,pairs_with_splits,0,True
missing_values_source_text,pairs_with_splits,0,True
missing_values_target_text,pairs_with_splits,0,True
missing_values_instance_id,classification_instances_with_splits,0,True
missing_values_pair_id,classification_instances_with_splits,0,True
missing_values_side,classification_instances_with_splits,0,True
missing_values_label,classification_instances_with_splits,0,True
missing_values_text,classification_instances_with_splits,0,True
missing_values_split,classification_instances_with_splits,0,True
duplicated_pair_id,pairs_with_splits,0,True
duplicated_instance_id,classification_instances_with_splits,0,True
duplicated_source_token_key,source_tokens,0,True
every_pair_has_one_original_and_one_simplified,classification_instances_with_splits,0,True
each_pair_id_in_exactly_one_split,pairs_with_splits,0,True
labels_agree_with_side,classification_instances_with_splits,0,True
