group,variable,count,mean,std,median,q1,q3,min,max
ar,n_source_tokens,399,21.654135338345863,14.40758722130206,18.0,12.0,28.0,3.0,114.0
ar,n_target_tokens,399,16.42105263157895,10.724890408114536,14.0,9.0,21.0,3.0,76.0
ar,length_difference,399,-5.2330827067669174,7.973152707124853,-3.0,-8.0,0.0,-51.0,29.0
ar,tokens_removed,399,5.2330827067669174,7.973152707124853,3.0,0.0,8.0,-29.0,51.0
ar,length_reduction_rate,399,0.19411696278657484,0.2456771237929297,0.16,0.0,0.33739837398373984,-0.875,0.8
ca,n_source_tokens,380,30.41315789473684,16.49643234880972,28.0,19.0,39.0,3.0,146.0
ca,n_target_tokens,380,36.64736842105263,21.7196546185811,33.0,21.0,48.0,3.0,141.0
ca,length_difference,380,6.234210526315789,14.917729996233412,2.0,-2.0,11.0,-60.0,78.0
ca,tokens_removed,380,-6.234210526315789,14.917729996233412,-2.0,-11.0,2.0,-78.0,60.0
ca,length_reduction_rate,380,-0.2516644861880073,0.5876977335361123,-0.1,-0.38398692810457513,0.06958128078817734,-5.571428571428571,0.47058823529411764
en,n_source_tokens,188,13.914893617021276,9.018886392084559,11.5,8.0,17.0,1.0,69.0
en,n_target_tokens,188,13.77659574468085,9.208406128602638,11.0,8.0,18.0,3.0,89.0
en,length_difference,188,-0.13829787234042554,8.721601510969483,0.0,-3.0,2.0,-46.0,50.0
en,tokens_removed,188,0.13829787234042554,8.721601510969483,0.0,-2.0,3.0,-50.0,46.0
en,length_reduction_rate,188,-0.19452012514864464,1.195848402734053,0.0,-0.25,0.20357142857142857,-11.0,0.8421052631578947
es,n_source_tokens,362,32.8646408839779,18.389775507669444,30.5,19.0,43.0,1.0,120.0
es,n_target_tokens,362,30.524861878453038,19.74493000902262,26.0,18.0,39.0,2.0,150.0
es,length_difference,362,-2.339779005524862,14.990228320588741,-2.0,-8.0,2.0,-67.0,96.0
es,tokens_removed,362,2.339779005524862,14.990228320588741,2.0,-2.0,8.0,-96.0,67.0
es,length_reduction_rate,362,-0.25590221009691944,5.064358157946514,0.06666666666666667,-0.0879156010230179,0.21688963210702342,-96.0,0.8591549295774648
fr,n_source_tokens,258,13.30232558139535,11.107612737149553,9.0,6.0,18.0,1.0,69.0
fr,n_target_tokens,258,15.046511627906977,11.487675998484974,11.0,7.0,20.0,2.0,64.0
fr,length_difference,258,1.744186046511628,9.3847952779393,0.0,-1.0,4.0,-35.0,44.0
fr,tokens_removed,258,-1.744186046511628,9.3847952779393,0.0,-4.0,1.0,-44.0,35.0
fr,length_reduction_rate,258,-0.43863817915552666,1.2559446229068514,0.0,-0.58125,0.06470588235294117,-10.0,0.660377358490566
it,n_source_tokens,343,32.32069970845481,20.209626783136173,29.0,21.0,39.0,1.0,230.0
it,n_target_tokens,343,37.80758017492711,25.564120752693984,32.0,22.0,48.0,1.0,214.0
it,length_difference,343,5.486880466472303,13.346669970610026,2.0,-2.0,10.0,-51.0,81.0
it,tokens_removed,343,-5.486880466472303,13.346669970610026,-2.0,-10.0,2.0,-81.0,51.0
it,length_reduction_rate,343,-0.17220120775363673,0.3728625032451968,-0.07692307692307693,-0.34123989218328843,0.0824829931972789,-1.8571428571428572,0.6190476190476191
