,n_source_tokens,n_target_tokens,length_reduction_rate,content_edit_rate,source_alignment_coverage,target_alignment_coverage,n_alignment_links,n_delete,n_substitute,n_merge,n_split,n_complex,n_edits_total
n_source_tokens,1.0,0.8359225853297101,0.1477662097937277,0.2761271714654227,-0.521722408760981,-0.27050892794702996,0.9197802335657617,0.8165238460905558,0.6597416435533577,0.46609011881796875,0.24179547003208188,0.42814803053095973,0.865310627237873
n_target_tokens,0.8359225853297101,1.0,-0.34393598934587327,0.13135430773623633,-0.22217990352239894,-0.5946727974137225,0.9150386152247526,0.5446647876458476,0.6899631783632596,0.308572464185438,0.43578857127696696,0.4553307293403004,0.674835756563362
length_reduction_rate,0.1477662097937277,-0.34393598934587327,1.0,0.22263064694465634,-0.5207117969513751,0.658720104081781,-0.08662200597790973,0.38797154649295224,-0.1394379171414436,0.25262570501554976,-0.40798245564851826,-0.11160975505331981,0.21142075509450342
content_edit_rate,0.2761271714654227,0.13135430773623633,0.22263064694465634,1.0,-0.7299429723251285,-0.36064889649479903,0.058254030417473526,0.6110401550187569,0.546296459047275,0.3684488716562747,0.13567502902956602,0.23345723403195162,0.6646133476568853
source_alignment_coverage,-0.521722408760981,-0.22217990352239894,-0.5207117969513751,-0.7299429723251285,1.0,0.19574489308452017,-0.2241656068265999,-0.8933286675855983,-0.3952931469759738,-0.3537157102238356,-0.032209956436547275,-0.214816329984602,-0.7617862888837866
target_alignment_coverage,-0.27050892794702996,-0.5946727974137225,0.658720104081781,-0.36064889649479903,0.19574489308452017,1.0,-0.28934417717454897,-0.2824668363432678,-0.5129366804816481,-0.09037316368907176,-0.41501447871453545,-0.2922148960730834,-0.39955706552287773
n_alignment_links,0.9197802335657617,0.9150386152247526,-0.08662200597790973,0.058254030417473526,-0.2241656068265999,-0.28934417717454897,1.0,0.5759019005600076,0.6404660198820334,0.4112048768205204,0.3281834775441132,0.4847849613614526,0.6932755279391094
n_delete,0.8165238460905558,0.5446647876458476,0.38797154649295224,0.6110401550187569,-0.8933286675855983,-0.2824668363432678,0.5759019005600076,1.0,0.5934605163351421,0.45686922885891906,0.15078319112839386,0.3576905949684383,0.9353707877788487
n_substitute,0.6597416435533577,0.6899631783632596,-0.1394379171414436,0.546296459047275,-0.3952931469759738,-0.5129366804816481,0.6404660198820334,0.5934605163351421,1.0,0.27323257622246044,0.2801485284252569,0.3503945912430444,0.7791278789774991
n_merge,0.46609011881796875,0.308572464185438,0.25262570501554976,0.3684488716562747,-0.3537157102238356,-0.09037316368907176,0.4112048768205204,0.45686922885891906,0.27323257622246044,1.0,0.004855298140802501,0.40848773505988617,0.5444817524394323
n_split,0.24179547003208188,0.43578857127696696,-0.40798245564851826,0.13567502902956602,-0.032209956436547275,-0.41501447871453545,0.3281834775441132,0.15078319112839386,0.2801485284252569,0.004855298140802501,1.0,0.1450037215973914,0.2580410169630562
n_complex,0.42814803053095973,0.4553307293403004,-0.11160975505331981,0.23345723403195162,-0.214816329984602,-0.2922148960730834,0.4847849613614526,0.3576905949684383,0.3503945912430444,0.40848773505988617,0.1450037215973914,1.0,0.4721601172261895
n_edits_total,0.865310627237873,0.674835756563362,0.21142075509450342,0.6646133476568853,-0.7617862888837866,-0.39955706552287773,0.6932755279391094,0.9353707877788487,0.7791278789774991,0.5444817524394323,0.2580410169630562,0.4721601172261895,1.0
