macro_strategy,micro_strategy,description,note
Explanation,WorExp,Explain a word using other words,
Explanation,ExpExp,Explain an expression using other words,
Explanation,TroExp,Explain a trope or figurative expression,
Explanation,SchExp,Make the intended meaning of a rhetorical scheme explicit,
Explanation,DeiExp,Make deictic information explicit,
Explanation,HidGra,Make an implicit grammatical element explicit,
Explanation,HidCon,Make implicit content explicit,
Modulation,ModInf,Use one meaning or information unit per sentence,
Modulation,ModLin,Present information in linear order,
Modulation,ModClau,Put clauses in logical or chronological order,
Modulation,ModGrou,Change complements or groups to clarify information,
Modulation,ModWord,Use a clearer basic word order,
Synonymy,PraSyn,Generic pragmatic synonymy code used in criterion mappings,extension
Synonymy,PraProp,Replace a proper name pragmatically,
Synonymy,PraCont,Use a contextual synonym,
Synonymy,PrAcron,Expand or replace an acronym,
Synonymy,SemSyn,Generic semantic synonymy code used in criterion mappings,extension
Synonymy,SemHype,Replace with a hypernym,
Synonymy,SemHypo,Replace with a hyponym,
Synonymy,SemStere,Use a more common or stereotypical term,
Synonymy,GraSyn,Generic grammatical synonymy code used in criterion mappings,extension
Synonymy,GraNega,Simplify a negation,
Synonymy,GraPass,Change passive voice to active voice,
Synonymy,GraPron,Replace or clarify a pronoun,
Synonymy,GraTens,Simplify tense or aspect,
Transposition,TraNou,Change a noun or nominalisation,
Transposition,TraVer,Change a verb or verbal form,
Transposition,TrAdje,Change an adjective,
Transposition,TrAdve,Change an adverb,
Transcription,,Leave wording unchanged because no simplification is needed,
Syntactic Change,SynW2G,Word to group,
Syntactic Change,SynG2W,Group to word,alias in source taxonomy: SynG2T
Syntactic Change,SynW2C,Word to clause,
Syntactic Change,SynC2W,Clause to word,
Syntactic Change,SynW2S,Word to sentence,
Syntactic Change,SynS2W,Sentence to word,
Syntactic Change,SynG2C,Group to clause,
Syntactic Change,SynC2G,Clause to group,
Syntactic Change,SynG2S,Group to sentence,
Syntactic Change,SynS2G,Sentence to group,
Syntactic Change,SynC2S,Clause to sentence,
Syntactic Change,SynS2C,Sentence to clause,
Illocutionary Change,IllCh,Make implied communicative meaning explicit,
Compression,GraSim,Compress or simplify a grammatical construct,
Compression,SemSim,Compress or simplify a semantic construct,
Omission,OmiEle,Omit an element,
Omission,OmiNoun,Omit material related to a noun,
Omission,OmiVerb,Omit material related to a verb,
Omission,OmiComp,Omit a complement or parenthetical element,
Omission,OmiSent,Omit a sentence,
Omission,OmiRhe,Omit a rhetorical construct,
Omission,OmiDia,Omit a discourse or diamesic element,
Omission,OmiSubj,Omit material related to a subject,extension used in manual data
